"cvid";"viewname";"columnname";"comparator";"value"
"2463";"34. IRL SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"2549";"VISTA OTTIMIZZATA PER PULIZIA SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3111";"SAFE AT";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3302";"SAFE ITALIA";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"3305";"SAFE IT";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"2452";"14. OMI SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"RS / SAFE"
"770";"Solo RS / SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"482";"Lista per invio corso safe";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"e";"SAFE"
"484";"Lista invio corsi SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"554";"Lista clienti safe  Emilia per  Palmisio";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"555";"Lista clienti safe  Marche/Abruzzo per  Palmisio";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"568";"Lista invio corsi SAFE nord-est";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"3154";"MEDELLIN - safe";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
"3155";"BOGOTA - SAFE";"vtiger_accountscf:cf_762:cf_762:Accounts_Categoria:V";"c";"SAFE"
